product_id,store_id,seed,metric,threshold,n_nodes,n_edges,rmse,mae,bias,r2_score,pocid,best_epoch,train_time_s
911753,6269,42,spearman,0.6,7,7,28.54290326263529,19.498441696166992,-4.450643293218675,0.40810972452163696,0.7039473684210527,95,9.99
911753,6269,42,spearman,0.62,5,5,28.441107686679725,19.406526565551758,-4.39963891147788,0.4123240113258362,0.7039473684210527,95,11.04
911753,6269,42,spearman,0.65,3,2,28.604005802495895,19.596940994262695,-4.704603299595951,0.4055728316307068,0.7039473684210527,95,9.34
26008,6269,42,spearman,0.6,7,7,50.651083172647944,27.279041290283203,-17.796414319206686,0.1974409818649292,0.6842105263157895,14,7.33
26008,6269,42,spearman,0.6,7,7,50.651083172647944,27.279041290283203,-17.796414319206686,0.1974409818649292,0.6842105263157895,14,7.07
26008,6269,42,spearman,0.62,5,5,44.210217540303255,21.794605255126953,-8.47339921839097,0.3885727524757385,0.6776315789473685,23,7.26
26008,6269,42,spearman,0.65,3,2,50.6253231085368,27.729389190673828,-19.833347819209877,0.19825714826583862,0.6578947368421053,17,6.93
907969,6269,42,spearman,0.6,7,7,56.19328086571494,38.001808166503906,-27.976960425283394,-0.02678525447845459,0.7171052631578947,14,6.97
907969,6269,42,spearman,0.62,5,5,53.70517525908816,35.4652214050293,-22.601109473533878,0.06212890148162842,0.7171052631578947,14,6.94
907969,6269,42,spearman,0.65,3,2,55.614357742487464,37.2296028137207,-25.13078896516289,-0.005737662315368652,0.7105263157894737,11,6.74
907967,6269,42,spearman,0.6,7,6,20.29330072214027,14.312287330627441,-0.6308951035044552,0.15976619720458984,0.6381578947368421,7,6.56
907967,6269,42,spearman,0.62,5,4,20.120211392879067,14.212116241455078,-0.22430357590220332,0.17403841018676758,0.6381578947368421,9,6.64
907967,6269,42,spearman,0.65,4,3,20.16925149961415,14.229233741760254,0.9013207878162658,0.17000716924667358,0.6447368421052632,8,6.55
213626,6269,42,spearman,0.6,7,6,23.62870315512404,16.012651443481445,6.269049382677265,-0.0020568370819091797,0.625,112,11.15
213626,6269,42,spearman,0.62,5,4,22.53060594714894,15.380359649658203,2.7021411820953967,0.0889161229133606,0.6447368421052632,108,11.3
213626,6269,42,spearman,0.65,4,3,24.05115651861283,16.8861141204834,8.21596376257005,-0.03820836544036865,0.625,103,10.8
911753,6269,42,spearman,0.6,7,7,25.53208430781871,17.845489501953125,-1.8096763261782578,0.5263937711715698,0.75,103,10.7
911753,6269,42,spearman,0.62,5,5,25.160195973517006,17.57085418701172,3.1539787654004066,0.5400899052619934,0.75,99,11.04
911753,6269,42,spearman,0.65,3,2,26.24901411839119,18.160749435424805,-3.956600927839092,0.49942296743392944,0.75,112,12.61
