Node,Mean_Degree,Median_Degree,Std_Degree,Max_Degree,Zero_Degree_Windows,Mean_Betweenness,Mean_Eigenvector,Degree_Stability
3559,2.351575456053068,2.0,2.9823877718064784,27,153,0.0010469322275344349,0.005488297901948122,0.7884848487627079
144854,1.8507462686567164,1.0,2.146603304038104,14,174,0.0006004420979683824,0.005480387551467662,0.8621703150610234
487,2.3018242122719736,2.0,2.9056666753323266,43,130,0.0010839217396465465,0.005479014229892924,0.7921818114910223
70081,2.4543946932006633,2.0,2.477593069830744,16,128,0.0011067870106667365,0.005473006058801292,0.9906327301121457
89149,2.0398009950248754,1.0,3.2935548841121567,37,201,0.0007422668277933613,0.005447652883697134,0.6193292273866172
11360,2.3598673300165838,2.0,2.618631036714625,20,121,0.000707284535265939,0.005446454254941858,0.9011801529610559
907970,2.857379767827529,2.0,2.785217630123874,24,91,0.0015458805742933164,0.005442747652002687,1.025905292954618
12500,2.3200663349917083,2.0,2.3234428610579876,15,134,0.0012685739067675632,0.005424705434353686,0.9985424597490059
70085,2.3548922056384742,2.0,2.29862352206157,16,138,0.0012539316875177038,0.005420365998536841,1.0244748382188595
808,2.2205638474295193,1.0,2.751048347828998,25,155,0.001100375701732242,0.00541618434136992,0.8071671214032522
8426,2.1923714759535655,1.0,2.699328860997963,20,151,0.0009407025938825889,0.005411235986324223,0.8121883130830901
103785,2.2470978441127696,2.0,2.756623990124637,23,158,0.0010184476850872222,0.005403981587336741,0.8151600292830933
51320,2.8656716417910446,2.0,3.4202885554626308,27,109,0.0011325275102657332,0.005400687418253399,0.8378425436616403
151820,2.6749585406301826,2.0,2.933845464668017,27,105,0.001153629736165016,0.005395439564665824,0.9117553924671166
514,2.2902155887230515,1.0,2.854751435385098,20,180,0.0008383796595509413,0.005389744629045965,0.8022441246177577
213442,2.888888888888889,2.0,3.0161410871022034,29,93,0.001426825558881175,0.005338843466536941,0.9578064246325328
1869,1.6849087893864014,1.0,2.7853361191823125,25,273,0.0003729744071343651,0.00533486839689593,0.6049190001137223
132342,1.6965174129353233,1.0,2.2495485769987766,22,210,0.0004468614941048657,0.005329210641284091,0.7541556953803412
129063,1.771144278606965,1.0,2.3585762881192847,18,217,0.0005307675090787499,0.005321092568648004,0.7509346965716737
103672,2.5024875621890548,2.0,2.844431372336983,29,133,0.0012209074026380364,0.005308324575759726,0.8797817337795996
129570,2.713101160862355,2.0,2.5488157757583956,15,100,0.0015963595439924033,0.005276444655561192,1.0644513982345771
159545,1.6202321724709785,1.0,2.482453571333001,25,240,0.0005365467798708458,0.0052573402400598775,0.652671076901631
200184,2.12106135986733,2.0,2.1223608216472427,14,153,0.00116451528421525,0.005254462615461649,0.9993830193260494
912509,2.175787728026534,1.0,2.9465572852971356,27,143,0.0007277323271348003,0.005250696512713378,0.7384144047493301
28512,1.9270315091210615,1.0,2.4531393858557435,20,185,0.0005698494878882773,0.005248955502485557,0.7855336981236657
21155,1.9535655058043118,1.0,2.226293886244853,13,175,0.0006221782863987935,0.005228785248060104,0.8774927438587128
236825,2.3499170812603647,2.0,2.4137415805484292,16,135,0.0010294970373518255,0.005219616649608098,0.9735538239301491
48359,2.427860696517413,2.0,2.7066688540963963,22,140,0.0012290084396784293,0.005218355168776815,0.8969888292595153
48372,2.2686567164179103,2.0,2.839684894794703,27,143,0.0009531478704886335,0.005215817179241011,0.7989086153503557
59997,1.824212271973466,1.0,2.612435658099563,20,222,0.0007800786547438962,0.005211892065275414,0.6982775952937902
151829,2.4444444444444446,2.0,2.9061862561390126,33,138,0.0009883761838906356,0.005197820914965906,0.8411147180032424
656368,2.1824212271973464,2.0,2.4810838805320494,18,176,0.0006843424697519296,0.005191272662201009,0.8796205755540958
65497,2.328358208955224,2.0,2.903359144068735,27,146,0.0007536837794385581,0.005172959506250516,0.8019504559769137
